transaction_id,status,amount,sender,receiver,transaction_type,bank_amount,amount_variance,root_cause,recommended_action,execution_status,genai_insight
T0001521,missing_in_ledger,,,,,38589.88,38589.88,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹38,589.88 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000924,missing_in_bank,8505.01,C9514219,M3593793,DEBIT,,8505.01,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹8,505.01 transfer from C9514219 to M3593793 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000551,missing_in_ledger,,,,,98118.31,98118.31,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹98,118.31 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001009,missing_in_ledger,,,,,41102.25,41102.25,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹41,102.25 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001878,missing_in_bank,39728.44,C1903560,M1657371,TRANSFER,,39728.44,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹39,728.44 transfer from C1903560 to M1657371 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000537,missing_in_bank,54333.1,C5862556,C9444553,PAYMENT,,54333.1,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹54,333.10 transfer from C5862556 to C9444553 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000678,missing_in_bank,1366.1,C9423457,C4061250,PAYMENT,,1366.1,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹1,366.10 transfer from C9423457 to C4061250 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000417,amount_mismatch,2291.37,C3668816,C6642019,PAYMENT,2308.03,16.66000000000031,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹2,291.37, but Bank shows ₹2,308.03 (Variance: ₹16.66). Check for hidden FX fees or vendor overcharges."
T0001120,missing_in_bank,40630.94,C1757037,M5535396,CASH_OUT,,40630.94,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹40,630.94 transfer from C1757037 to M5535396 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001963,amount_mismatch,37263.59,C8352185,M2889952,PAYMENT,37741.63,478.0400000000009,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹37,263.59, but Bank shows ₹37,741.63 (Variance: ₹478.04). Check for hidden FX fees or vendor overcharges."
T0001365,missing_in_ledger,,,,,8681.11,8681.11,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹8,681.11 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001547,missing_in_bank,114220.69,C5445864,M4198029,TRANSFER,,114220.69,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹114,220.69 transfer from C5445864 to M4198029 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001945,amount_mismatch,110511.02,C2413655,M6205923,PAYMENT,110645.9,134.8799999999901,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹110,511.02, but Bank shows ₹110,645.90 (Variance: ₹134.88). Check for hidden FX fees or vendor overcharges."
T0001006,missing_in_bank,8322.36,C5532695,M7463581,CASH_OUT,,8322.36,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹8,322.36 transfer from C5532695 to M7463581 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001866,missing_in_bank,40977.34,C7840133,C5473815,TRANSFER,,40977.34,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹40,977.34 transfer from C7840133 to C5473815 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000194,amount_mismatch,46497.2,C9637232,M3319183,PAYMENT,46907.14,409.9400000000023,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹46,497.20, but Bank shows ₹46,907.14 (Variance: ₹409.94). Check for hidden FX fees or vendor overcharges."
T0000335,amount_mismatch,104224.67,C9668905,M8220459,CASH_IN,104492.53,267.8600000000006,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹104,224.67, but Bank shows ₹104,492.53 (Variance: ₹267.86). Check for hidden FX fees or vendor overcharges."
T0001005,amount_mismatch,18975.31,C8652033,C9715441,CASH_IN,19304.67,329.35999999999694,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹18,975.31, but Bank shows ₹19,304.67 (Variance: ₹329.36). Check for hidden FX fees or vendor overcharges."
T0001143,missing_in_ledger,,,,,85900.09,85900.09,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹85,900.09 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001095,missing_in_bank,126907.92,C8519108,M3198774,DEBIT,,126907.92,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹126,907.92 transfer from C8519108 to M3198774 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001585,amount_mismatch,26324.3,C8409482,M1903819,PAYMENT,26803.45,479.15000000000146,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹26,324.30, but Bank shows ₹26,803.45 (Variance: ₹479.15). Check for hidden FX fees or vendor overcharges."
T0000946,duplicate,10273.06,C2206851,C5974043,CASH_OUT,10273.06,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0000946. Investigate double-billing by vendor.
T0001816,missing_in_ledger,,,,,3089.38,3089.38,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹3,089.38 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001462,duplicate,58245.81,C1458644,C6161732,TRANSFER,58245.81,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0001462. Investigate double-billing by vendor.
T0001137,missing_in_ledger,,,,,3189.82,3189.82,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹3,189.82 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000566,missing_in_bank,96739.66,C3244487,M2716544,PAYMENT,,96739.66,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹96,739.66 transfer from C3244487 to M2716544 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000792,duplicate,24099.34,C8428594,C1991530,CASH_OUT,24099.34,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0000792. Investigate double-billing by vendor.
T0001096,duplicate,32467.06,C7797970,C8667684,PAYMENT,32467.06,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0001096. Investigate double-billing by vendor.
T0000697,missing_in_bank,23493.48,C1451315,M9011763,PAYMENT,,23493.48,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹23,493.48 transfer from C1451315 to M9011763 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000604,missing_in_ledger,,,,,13040.36,13040.36,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹13,040.36 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001543,missing_in_bank,80031.12,C3076428,C6954576,CASH_OUT,,80031.12,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹80,031.12 transfer from C3076428 to C6954576 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001874,amount_mismatch,18902.16,C2085897,M5479273,TRANSFER,19000.86,98.70000000000073,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹18,902.16, but Bank shows ₹19,000.86 (Variance: ₹98.70). Check for hidden FX fees or vendor overcharges."
T0000372,amount_mismatch,39542.18,C4362919,C8776669,DEBIT,39868.9,326.72000000000116,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹39,542.18, but Bank shows ₹39,868.90 (Variance: ₹326.72). Check for hidden FX fees or vendor overcharges."
T0000686,missing_in_ledger,,,,,59581.34,59581.34,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹59,581.34 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001207,missing_in_bank,21168.55,C3562577,M7950804,TRANSFER,,21168.55,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹21,168.55 transfer from C3562577 to M7950804 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000405,amount_mismatch,2365.61,C4903289,M5725014,PAYMENT,2577.99,212.37999999999965,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹2,365.61, but Bank shows ₹2,577.99 (Variance: ₹212.38). Check for hidden FX fees or vendor overcharges."
T0001325,amount_mismatch,37012.42,C7113903,M4527406,CASH_IN,37497.58,485.1600000000035,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹37,012.42, but Bank shows ₹37,497.58 (Variance: ₹485.16). Check for hidden FX fees or vendor overcharges."
T0000721,amount_mismatch,41680.25,C8605397,C3475349,CASH_OUT,42051.07,370.8199999999997,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹41,680.25, but Bank shows ₹42,051.07 (Variance: ₹370.82). Check for hidden FX fees or vendor overcharges."
T0001898,missing_in_bank,67250.06,C4053898,C4828803,TRANSFER,,67250.06,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹67,250.06 transfer from C4053898 to C4828803 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000462,missing_in_ledger,,,,,15963.25,15963.25,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹15,963.25 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001913,missing_in_bank,2440.93,C3955636,C7008756,TRANSFER,,2440.93,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹2,440.93 transfer from C3955636 to C7008756 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001387,amount_mismatch,81469.4,C9017859,C9917892,PAYMENT,81868.52,399.1200000000099,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹81,469.40, but Bank shows ₹81,868.52 (Variance: ₹399.12). Check for hidden FX fees or vendor overcharges."
T0001369,missing_in_bank,64134.35,C8926473,C6351548,CASH_IN,,64134.35,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹64,134.35 transfer from C8926473 to C6351548 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001371,missing_in_ledger,,,,,15130.72,15130.72,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹15,130.72 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001524,missing_in_bank,19595.65,C1426366,M3238213,PAYMENT,,19595.65,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹19,595.65 transfer from C1426366 to M3238213 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000078,amount_mismatch,67546.32,C6080498,M9081112,CASH_IN,67864.9,318.5799999999872,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹67,546.32, but Bank shows ₹67,864.90 (Variance: ₹318.58). Check for hidden FX fees or vendor overcharges."
T0001765,duplicate,106415.9,C5538515,C3558532,PAYMENT,106415.9,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0001765. Investigate double-billing by vendor.
T0000210,missing_in_bank,10482.15,C7452010,C3983268,PAYMENT,,10482.15,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹10,482.15 transfer from C7452010 to C3983268 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001905,missing_in_ledger,,,,,12598.29,12598.29,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹12,598.29 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001852,missing_in_bank,27394.94,C2442808,M8457829,TRANSFER,,27394.94,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹27,394.94 transfer from C2442808 to M8457829 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001333,missing_in_bank,4222.41,C5802225,C9727031,CASH_IN,,4222.41,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹4,222.41 transfer from C5802225 to C9727031 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000698,amount_mismatch,61617.23,C1855442,C1295808,PAYMENT,61717.15,99.91999999999825,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹61,617.23, but Bank shows ₹61,717.15 (Variance: ₹99.92). Check for hidden FX fees or vendor overcharges."
T0000349,missing_in_bank,37530.04,C5798410,C2151250,PAYMENT,,37530.04,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹37,530.04 transfer from C5798410 to C2151250 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000104,amount_mismatch,124055.86,C8171582,C1230140,CASH_IN,124401.93,346.06999999999243,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹124,055.86, but Bank shows ₹124,401.93 (Variance: ₹346.07). Check for hidden FX fees or vendor overcharges."
T0000345,duplicate,30818.06,C9922444,C5301975,PAYMENT,30818.06,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0000345. Investigate double-billing by vendor.
T0000681,missing_in_bank,21004.62,C9639445,C4367119,TRANSFER,,21004.62,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹21,004.62 transfer from C9639445 to C4367119 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000398,amount_mismatch,9453.02,C3792912,C7853568,CASH_IN,9474.43,21.409999999999854,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹9,453.02, but Bank shows ₹9,474.43 (Variance: ₹21.41). Check for hidden FX fees or vendor overcharges."
T0000252,amount_mismatch,47721.12,C3968750,C2159896,DEBIT,47850.91,129.79000000000087,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹47,721.12, but Bank shows ₹47,850.91 (Variance: ₹129.79). Check for hidden FX fees or vendor overcharges."
T0001135,duplicate,172.92,C7524544,M3020204,TRANSFER,172.92,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0001135. Investigate double-billing by vendor.
T0000081,missing_in_bank,75384.54,C4934366,C9318522,PAYMENT,,75384.54,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹75,384.54 transfer from C4934366 to C9318522 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001805,missing_in_bank,9855.71,C1077235,M1943071,CASH_IN,,9855.71,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹9,855.71 transfer from C1077235 to M1943071 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001109,missing_in_bank,6437.01,C6688826,C9453352,PAYMENT,,6437.01,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹6,437.01 transfer from C6688826 to C9453352 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001844,missing_in_bank,12770.05,C6550804,C9306489,PAYMENT,,12770.05,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹12,770.05 transfer from C6550804 to C9306489 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000547,missing_in_ledger,,,,,6631.0,6631.0,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹6,631.00 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001922,amount_mismatch,16257.3,C4911067,C7253184,CASH_OUT,16304.81,47.51000000000022,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹16,257.30, but Bank shows ₹16,304.81 (Variance: ₹47.51). Check for hidden FX fees or vendor overcharges."
T0001282,missing_in_bank,13903.86,C8207843,C8342499,TRANSFER,,13903.86,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹13,903.86 transfer from C8207843 to C8342499 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001531,missing_in_ledger,,,,,50372.8,50372.8,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹50,372.80 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001487,missing_in_bank,21536.34,C1999846,M2005927,TRANSFER,,21536.34,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹21,536.34 transfer from C1999846 to M2005927 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000614,missing_in_bank,14907.79,C6756068,M6396569,PAYMENT,,14907.79,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹14,907.79 transfer from C6756068 to M6396569 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001228,missing_in_ledger,,,,,61926.72,61926.72,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹61,926.72 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000992,missing_in_bank,4237.39,C4882763,M7824695,PAYMENT,,4237.39,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹4,237.39 transfer from C4882763 to M7824695 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001383,missing_in_bank,185925.8,C4476899,M8090437,PAYMENT,,185925.8,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹185,925.80 transfer from C4476899 to M8090437 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001872,amount_mismatch,87441.75,C9473848,M6841913,PAYMENT,87474.53,32.779999999998836,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹87,441.75, but Bank shows ₹87,474.53 (Variance: ₹32.78). Check for hidden FX fees or vendor overcharges."
T0001900,missing_in_bank,2047.42,C5777653,C9631236,CASH_IN,,2047.42,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹2,047.42 transfer from C5777653 to C9631236 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001661,amount_mismatch,79292.94,C2667226,C8059605,CASH_IN,79773.44,480.5,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹79,292.94, but Bank shows ₹79,773.44 (Variance: ₹480.50). Check for hidden FX fees or vendor overcharges."
