transaction_id,status,amount,sender,receiver,transaction_type,bank_amount,amount_variance,root_cause,recommended_action,execution_status,genai_insight
T0012923,missing_in_bank,18204.08,C8697804,C2382902,PAYMENT,,18204.08,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹18,204.08 transfer from C8697804 to C2382902 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0015382,duplicate,54921.11,C3697740,C3482566,CASH_OUT,54921.11,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0015382. Investigate double-billing by vendor.
T0004503,missing_in_bank,16802.68,C1151487,C5570986,CASH_IN,,16802.68,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹16,802.68 transfer from C1151487 to C5570986 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0002594,duplicate,84915.76,C2494563,C4070451,TRANSFER,84915.76,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0002594. Investigate double-billing by vendor.
T0011563,amount_mismatch,11013.37,C1812916,C6903135,PAYMENT,11146.99,133.61999999999898,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹11,013.37, but Bank shows ₹11,146.99 (Variance: ₹133.62). Check for hidden FX fees or vendor overcharges."
T0000170,amount_mismatch,13789.83,C1955283,C5828188,PAYMENT,14034.9,245.0699999999997,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹13,789.83, but Bank shows ₹14,034.90 (Variance: ₹245.07). Check for hidden FX fees or vendor overcharges."
T0018925,duplicate,72259.85,C8471819,M5742506,PAYMENT,72259.85,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0018925. Investigate double-billing by vendor.
T0018381,missing_in_bank,29952.39,C2968741,M5775371,PAYMENT,,29952.39,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹29,952.39 transfer from C2968741 to M5775371 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0015536,missing_in_ledger,,,,,130051.99,130051.99,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹130,051.99 transaction. Possible unrecorded direct debit or unauthorized charge."
T0017310,missing_in_ledger,,,,,27859.93,27859.93,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹27,859.93 transaction. Possible unrecorded direct debit or unauthorized charge."
T0015523,missing_in_bank,222011.12,C1034774,M8034328,CASH_OUT,,222011.12,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹222,011.12 transfer from C1034774 to M8034328 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0013094,missing_in_ledger,,,,,21521.67,21521.67,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹21,521.67 transaction. Possible unrecorded direct debit or unauthorized charge."
T0018124,missing_in_ledger,,,,,19652.65,19652.65,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹19,652.65 transaction. Possible unrecorded direct debit or unauthorized charge."
T0005519,missing_in_bank,102716.45,C4931273,C5233018,CASH_OUT,,102716.45,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹102,716.45 transfer from C4931273 to C5233018 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0016679,missing_in_ledger,,,,,49312.41,49312.41,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹49,312.41 transaction. Possible unrecorded direct debit or unauthorized charge."
T0005933,missing_in_bank,211851.82,C3551189,C3034703,TRANSFER,,211851.82,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹211,851.82 transfer from C3551189 to C3034703 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0018483,amount_mismatch,64188.09,C5296869,C3136210,CASH_OUT,64315.64,127.55000000000291,Amount mismatch – possible billing error or data-entry discrepancy,Trigger Vendor Dispute Workflow,PENDING ADMIN APPROVAL,"Ledger recorded ₹64,188.09, but Bank shows ₹64,315.64 (Variance: ₹127.55). Check for hidden FX fees or vendor overcharges."
